id,region_cd,name,lat,lng,seq,police,office,group_id,arrow_configs,controller,diagram_order,weekly_plan,created_at,updated_at,api_int_no
"L02-1127","L02","영종파출소4","37.493675","126.53351","1127","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1128","L02","운남교4거리","37.491266","126.532756","1128","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1129","L02","운남말우물4","37.48912","126.532882","1129","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1130","L02","영종물류고3","37.489156","126.531795","1130","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1131","L02","운남초교","37.490061","126.529711","1131","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1132","L02","운남공원4거리","37.491301","126.529728","1132","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1133","L02","요트경기장입구","37.460218","126.371778","1133","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1134","L02","왕산팬션타운","37.458129","126.371921","1134","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1135","L02","영마루공원3","37.495257","126.488271","1135","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1136","L02","운남4거리","37.500709","126.537831","1136","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1137","L02","중산4","37.495471","126.549833","1137","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1138","L02","영종역입구4","37.511263","126.522344","1138","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1139","L02","공항초입구","37.492556","126.486502","1139","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1140","L02","영종석산입구3","37.519835","126.501297","1140","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1141","L02","탐지견센터입구3","37.521182","126.501494","1141","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1142","L02","남측유수지입구3","37.429151","126.456219","1142","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1143","L02","선녀바위입구","37.444694","126.376521","1143","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
